id,name,release_date,developer,genre,original_price
0,DOOM,2016-05-12,id Software,Action,$19.99
1,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-12-21,PUBG Corporation,"Action,Adventure,Massively Multiplayer",$29.99
2,BATTLETECH,2018-04-24,Harebrained Schemes,"Action,Adventure,Strategy",$39.99
3,DayZ,2018-12-13,Bohemia Interactive,"Action,Adventure,Massively Multiplayer",$44.99
4,EVE Online,2003-05-06,CCP,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",Free
5,Grand Theft Auto V: Premium Online Edition,,Rockstar North,"Action,Adventure",
6,Devil May Cry 5,2019-03-07,"CAPCOM Co., Ltd.",Action,$59.99
7,Human: Fall Flat,2016-07-22,No Brakes Games,"Adventure,Indie",$14.99
8,They Are Billions,2017-12-12,Numantian Games,"Strategy,Early Access",$29.99
9,Warhammer: Chaosbane,2019-05-31,Eko Software,"Action,Adventure,RPG",$49.99
10,For The King,2018-04-19,IronOak Games,"Adventure,Indie,RPG,Strategy",$19.99
11,Danganronpa V3: Killing Harmony,2017-09-25,"Spike Chunsoft Co., Ltd.",Adventure,$39.99
12,TERA,2015-05-05,"Bluehole, Inc.","Action,Adventure,Free to Play,Massively Multiplayer,RPG",Free to Play
13,Call of Duty®: Modern Warfare® Remastered,2017-07-27,"Raven Software,Beenox",Action,1.020
14,Stonehearth,2018-07-25,Radiant Entertainment,"Indie,Simulation,Strategy",$19.99
15,Hearts of Iron IV: Mobilization Pack,,Paradox Development Studio,"Simulation,Strategy",
16,Clone Drone in the Danger Zone,2017-03-16,Doborog Games,"Action,Indie,Early Access",$14.99
17,GOD EATER 3,2019-02-07,BANDAI NAMCO Studios Inc.,Action,$59.99
18,War Robots,2018-04-05,Pixonic,"Action,Free to Play",Free To Play
19,Halo Wars: Definitive Edition,2017-04-20,"Ensemble Studios,Behaviour Interactive,343 Industries",Strategy,$19.99
20,Call of Duty®: Black Ops,2010-11-09,Treyarch,Action,1.020
21,Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,2019-04-09,"CAPCOM Co., Ltd.",Adventure,$29.99
22,Team Sonic Racing™,2019-05-21,Sumo Digital,Racing,$39.99
23,Titan Quest Anniversary Edition,2016-08-31,"Iron Lore Entertainment,THQ Nordic","Action,RPG",$19.99
24,Grand Theft Auto IV,2008-12-02,"Rockstar North,Rockstar Toronto","Action,Adventure",$19.99
25,Portal Bundle,,Valve,"Action,Adventure",
26,Portal,2007-10-10,Valve,Action,$9.99
27,Viscera Cleanup Detail,2015-10-23,RuneStorm,"Indie,Simulation",$12.99
28,Neverwinter Nights: Enhanced Edition,2018-03-27,Beamdog,RPG,$57.91
29,Ni no Kuni™ II: Revenant Kingdom,2018-03-23,Level-5,"Adventure,RPG",$59.99
30,Tree of Savior (English Ver.),2016-03-28,"IMCGAMES Co.,Ltd.","Free to Play,Massively Multiplayer,RPG",Free to Play
31,Hellblade: Senua's Sacrifice,2017-08-08,Ninja Theory,"Action,Adventure,Indie",$29.99
32,Danganronpa 2: Goodbye Despair,2016-04-18,"Spike Chunsoft Co., Ltd.,Abstraction Games",Adventure,$19.99
33,Yakuza 0,2018-08-01,SEGA,"Action,Adventure,RPG",$19.99
34,The Escapists 2,2017-08-21,"Team17 Digital Ltd,Mouldy Toof Studios","Indie,Simulation,Strategy",$19.99
35,"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,Pandemic Studios,Action,$9.99
36,Wizard101,2008-09-02,KingsIsle Entertainment,"Free to Play,Massively Multiplayer,RPG",Free To Play
37,Life is Strange 2,2018-09-26,DONTNOD Entertainment,Adventure,$7.99
38,Kingdoms of Amalur: Reckoning™,2012-02-07,"Big Huge Games,38 Studios","Action,RPG",$19.99
39,Doom Classic Complete,,id Software,Action,$14.99
40,"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,"Relic Entertainment,Feral Interactive (Mac/Linux)",Strategy,$29.99
41,GOD WARS The Complete Legend,2019-06-13,"KADOKAWA GAMES, LTD","Adventure,RPG,Simulation",$29.99
